# 7.180E-01  1.490E-02  X, Z
#    17                 No. of Elements
#     1   9.133E-01     Atomic No., Normalised Abundance
#     2   8.557E-02
#     6   2.289E-04
#     7   6.764E-05
#     8   5.619E-04
#    10   1.060E-04
#    11   1.925E-06
#    12   3.429E-05
#    13   2.667E-06
#    14   3.200E-05
#    16   1.463E-05
#    18   2.992E-06
#    20   2.068E-06
#    24   4.215E-07
#    25   2.211E-07
#    26   2.919E-05
#    28   1.600E-06
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.218E+00   2.004E+00  -1.652E+00   2.586E-02  -1.602E+00   3.021E-01
   7.218E+00   2.003E+00  -1.652E+00   2.588E-02  -1.602E+00   3.022E-01
   7.218E+00   2.003E+00  -1.652E+00   2.590E-02  -1.603E+00   3.022E-01
   7.218E+00   2.003E+00  -1.651E+00   2.592E-02  -1.603E+00   3.022E-01
   7.218E+00   2.003E+00  -1.651E+00   2.594E-02  -1.603E+00   3.022E-01
   7.218E+00   2.003E+00  -1.651E+00   2.597E-02  -1.603E+00   3.022E-01
   7.218E+00   2.003E+00  -1.651E+00   2.599E-02  -1.603E+00   3.022E-01
   7.218E+00   2.003E+00  -1.651E+00   2.602E-02  -1.603E+00   3.023E-01
   7.218E+00   2.003E+00  -1.651E+00   2.605E-02  -1.603E+00   3.023E-01
   7.218E+00   2.003E+00  -1.651E+00   2.608E-02  -1.603E+00   3.023E-01
   7.218E+00   2.003E+00  -1.651E+00   2.612E-02  -1.603E+00   3.023E-01
   7.218E+00   2.003E+00  -1.651E+00   2.616E-02  -1.603E+00   3.024E-01
   7.218E+00   2.003E+00  -1.651E+00   2.620E-02  -1.603E+00   3.024E-01
   7.218E+00   2.003E+00  -1.651E+00   2.624E-02  -1.603E+00   3.024E-01
   7.218E+00   2.003E+00  -1.651E+00   2.629E-02  -1.603E+00   3.025E-01
   7.218E+00   2.003E+00  -1.651E+00   2.634E-02  -1.603E+00   3.025E-01
   7.218E+00   2.003E+00  -1.651E+00   2.640E-02  -1.604E+00   3.025E-01
   7.218E+00   2.003E+00  -1.651E+00   2.646E-02  -1.604E+00   3.026E-01
   7.218E+00   2.003E+00  -1.651E+00   2.652E-02  -1.604E+00   3.026E-01
   7.218E+00   2.003E+00  -1.651E+00   2.659E-02  -1.604E+00   3.027E-01
   7.218E+00   2.002E+00  -1.651E+00   2.667E-02  -1.604E+00   3.027E-01
   7.218E+00   2.002E+00  -1.650E+00   2.675E-02  -1.604E+00   3.028E-01
   7.218E+00   2.002E+00  -1.650E+00   2.684E-02  -1.605E+00   3.028E-01
   7.217E+00   2.002E+00  -1.650E+00   2.693E-02  -1.605E+00   3.029E-01
   7.217E+00   2.002E+00  -1.650E+00   2.703E-02  -1.605E+00   3.030E-01
   7.217E+00   2.002E+00  -1.650E+00   2.715E-02  -1.605E+00   3.031E-01
   7.217E+00   2.002E+00  -1.650E+00   2.727E-02  -1.605E+00   3.032E-01
   7.217E+00   2.001E+00  -1.650E+00   2.740E-02  -1.606E+00   3.032E-01
   7.217E+00   2.001E+00  -1.649E+00   2.754E-02  -1.606E+00   3.033E-01
   7.217E+00   2.001E+00  -1.649E+00   2.769E-02  -1.606E+00   3.035E-01
   7.217E+00   2.001E+00  -1.649E+00   2.785E-02  -1.607E+00   3.036E-01
   7.216E+00   2.001E+00  -1.649E+00   2.803E-02  -1.607E+00   3.037E-01
   7.216E+00   2.000E+00  -1.649E+00   2.822E-02  -1.607E+00   3.038E-01
   7.216E+00   2.000E+00  -1.648E+00   2.843E-02  -1.608E+00   3.040E-01
   7.216E+00   2.000E+00  -1.648E+00   2.865E-02  -1.608E+00   3.041E-01
   7.216E+00   2.000E+00  -1.648E+00   2.889E-02  -1.609E+00   3.043E-01
   7.215E+00   1.999E+00  -1.647E+00   2.915E-02  -1.609E+00   3.045E-01
   7.215E+00   1.999E+00  -1.647E+00   2.943E-02  -1.610E+00   3.047E-01
   7.215E+00   1.998E+00  -1.647E+00   2.974E-02  -1.611E+00   3.049E-01
   7.215E+00   1.998E+00  -1.646E+00   3.006E-02  -1.611E+00   3.052E-01
   7.214E+00   1.997E+00  -1.646E+00   3.042E-02  -1.612E+00   3.054E-01
   7.214E+00   1.997E+00  -1.645E+00   3.080E-02  -1.613E+00   3.057E-01
   7.214E+00   1.996E+00  -1.645E+00   3.122E-02  -1.614E+00   3.060E-01
   7.213E+00   1.996E+00  -1.644E+00   3.167E-02  -1.615E+00   3.063E-01
   7.213E+00   1.995E+00  -1.643E+00   3.216E-02  -1.616E+00   3.067E-01
   7.212E+00   1.994E+00  -1.643E+00   3.268E-02  -1.617E+00   3.070E-01
   7.212E+00   1.994E+00  -1.642E+00   3.325E-02  -1.618E+00   3.075E-01
