# 7.010E-01  1.800E-02  X, Z	# 7.010E-01  1.800E-02  X, Z
#    17                 No. of Elements	#    17                 No. of Elements
#     1   9.071E-01     Atomic No., Normalised Abundance	#     1   9.071E-01     Atomic No., Normalised Abundance
#     2   9.157E-02	#     2   9.157E-02
#     6   2.655E-04	#     6   8.362E-06
#     7   7.808E-05	#     7   4.037E-04
#     8   7.183E-04	#     8   6.632E-04
#    10   1.273E-04	#    10   1.175E-04
#    11   2.311E-06	#    11   2.134E-06
#    12   4.116E-05	#    12   3.800E-05
#    13   3.201E-06	#    13   2.956E-06
#    14   3.841E-05	#    14   3.547E-05
#    16   1.757E-05	#    16   1.622E-05
#    18   3.592E-06	#    18   3.316E-06
#    20   2.483E-06	#    20   2.292E-06
#    24   5.059E-07	#    24   4.671E-07
#    25   2.655E-07	#    25   2.451E-07
#    26   3.504E-05	#    26   3.235E-05
#    28   1.921E-06	#    28   1.773E-06
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr	#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.218E+00   2.004E+00  -1.652E+00   4.979E-02  -1.641E+00   3.011E-01	   7.218E+00   2.004E+00  -1.652E+00   3.920E-02  -1.634E+00   3.023E-01
   7.218E+00   2.003E+00  -1.652E+00   4.981E-02  -1.641E+00   3.011E-01	   7.218E+00   2.003E+00  -1.652E+00   3.922E-02  -1.634E+00   3.023E-01
   7.218E+00   2.003E+00  -1.652E+00   4.983E-02  -1.641E+00   3.011E-01	   7.218E+00   2.003E+00  -1.652E+00   3.924E-02  -1.634E+00   3.023E-01
   7.218E+00   2.003E+00  -1.651E+00   4.985E-02  -1.641E+00   3.012E-01	   7.218E+00   2.003E+00  -1.651E+00   3.926E-02  -1.634E+00   3.023E-01
   7.218E+00   2.003E+00  -1.651E+00   4.988E-02  -1.641E+00   3.012E-01	   7.218E+00   2.003E+00  -1.651E+00   3.928E-02  -1.634E+00   3.024E-01
   7.218E+00   2.003E+00  -1.651E+00   4.990E-02  -1.642E+00   3.012E-01	   7.218E+00   2.003E+00  -1.651E+00   3.931E-02  -1.634E+00   3.024E-01
   7.218E+00   2.003E+00  -1.651E+00   4.993E-02  -1.642E+00   3.012E-01	   7.218E+00   2.003E+00  -1.651E+00   3.933E-02  -1.634E+00   3.024E-01
   7.218E+00   2.003E+00  -1.651E+00   4.996E-02  -1.642E+00   3.012E-01	   7.218E+00   2.003E+00  -1.651E+00   3.936E-02  -1.634E+00   3.024E-01
   7.218E+00   2.003E+00  -1.651E+00   4.999E-02  -1.642E+00   3.012E-01	   7.218E+00   2.003E+00  -1.651E+00   3.939E-02  -1.634E+00   3.024E-01
   7.218E+00   2.003E+00  -1.651E+00   5.002E-02  -1.642E+00   3.013E-01	   7.218E+00   2.003E+00  -1.651E+00   3.943E-02  -1.634E+00   3.025E-01
