# 7.010E-01  1.000E-02  X, Z
#    17                 No. of Elements
#     1   9.052E-01     Atomic No., Normalised Abundance
#     2   9.399E-02
#     6   1.882E-04
#     7   4.949E-05
#     8   3.932E-04
#    10   6.234E-05
#    11   1.132E-06
#    12   2.016E-05
#    13   1.568E-06
#    14   1.882E-05
#    16   8.605E-06
#    18   1.759E-06
#    20   1.216E-06
#    24   2.478E-07
#    25   1.300E-07
#    26   1.716E-05
#    28   9.408E-07
#    t=log(T)  r=log(rho)    log(R)    G=log(ross)    dG/dt       dG/dr
   7.218E+00   2.004E+00  -1.652E+00  -4.338E-02  -1.520E+00   3.086E-01
   7.218E+00   2.003E+00  -1.652E+00  -4.337E-02  -1.520E+00   3.086E-01
   7.218E+00   2.003E+00  -1.652E+00  -4.335E-02  -1.520E+00   3.087E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.333E-02  -1.520E+00   3.087E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.331E-02  -1.520E+00   3.087E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.329E-02  -1.520E+00   3.087E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.327E-02  -1.520E+00   3.087E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.324E-02  -1.520E+00   3.087E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.321E-02  -1.520E+00   3.088E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.318E-02  -1.520E+00   3.088E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.315E-02  -1.520E+00   3.088E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.312E-02  -1.520E+00   3.088E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.308E-02  -1.520E+00   3.089E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.304E-02  -1.521E+00   3.089E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.299E-02  -1.521E+00   3.089E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.295E-02  -1.521E+00   3.090E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.290E-02  -1.521E+00   3.090E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.284E-02  -1.521E+00   3.090E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.278E-02  -1.521E+00   3.091E-01
   7.218E+00   2.003E+00  -1.651E+00  -4.272E-02  -1.521E+00   3.091E-01
   7.218E+00   2.002E+00  -1.651E+00  -4.265E-02  -1.521E+00   3.092E-01
   7.218E+00   2.002E+00  -1.650E+00  -4.257E-02  -1.522E+00   3.092E-01
   7.218E+00   2.002E+00  -1.650E+00  -4.249E-02  -1.522E+00   3.093E-01
   7.217E+00   2.002E+00  -1.650E+00  -4.240E-02  -1.522E+00   3.094E-01
   7.217E+00   2.002E+00  -1.650E+00  -4.231E-02  -1.522E+00   3.094E-01
   7.217E+00   2.002E+00  -1.650E+00  -4.221E-02  -1.522E+00   3.095E-01
   7.217E+00   2.002E+00  -1.650E+00  -4.210E-02  -1.523E+00   3.096E-01
   7.217E+00   2.001E+00  -1.650E+00  -4.198E-02  -1.523E+00   3.097E-01
   7.217E+00   2.001E+00  -1.649E+00  -4.185E-02  -1.523E+00   3.098E-01
